task,query_ordinal,states_checked,stored_success,paper_rescored_success,released_predicate_success,paper_matches_record,per_state_predicate_disagreements,initial_success
tworoom,58,26,True,True,True,True,0,False
tworoom,59,25,True,True,True,True,0,False
tworoom,60,51,True,True,True,True,0,False
tworoom,61,24,True,True,True,True,0,False
tworoom,62,51,False,False,False,True,0,False
tworoom,63,51,False,False,False,True,0,False
tworoom,64,51,False,False,False,True,0,False
tworoom,65,51,False,False,False,True,0,False
tworoom,66,20,True,True,True,True,0,False
tworoom,67,51,False,False,False,True,0,False
tworoom,68,51,False,False,False,True,0,False
tworoom,69,23,True,True,True,True,0,False
tworoom,70,23,True,True,True,True,0,False
tworoom,71,22,True,True,True,True,0,False
tworoom,72,25,True,True,True,True,0,False
tworoom,73,24,True,True,True,True,0,False
tworoom,74,23,True,True,True,True,0,False
tworoom,75,8,True,True,True,True,0,False
tworoom,76,26,True,True,True,True,0,False
tworoom,77,51,False,False,False,True,0,False
tworoom,78,23,True,True,True,True,0,False
tworoom,79,1,True,True,True,True,0,True
tworoom,80,25,True,True,True,True,0,False
tworoom,81,51,False,False,False,True,0,False
tworoom,82,23,True,True,True,True,0,False
tworoom,83,1,True,True,True,True,0,True
tworoom,84,20,True,True,True,True,0,False
tworoom,85,51,False,False,False,True,0,False
tworoom,86,21,True,True,True,True,0,False
tworoom,87,14,True,True,True,True,0,False
tworoom,88,15,True,True,True,True,0,False
tworoom,89,25,True,True,True,True,0,False
tworoom,90,26,True,True,True,True,0,False
tworoom,91,51,False,False,False,True,0,False
tworoom,92,24,True,True,True,True,0,False
tworoom,93,24,True,True,True,True,0,False
tworoom,94,24,True,True,True,True,0,False
tworoom,95,6,True,True,True,True,0,False
tworoom,96,51,False,False,False,True,0,False
tworoom,97,6,True,True,True,True,0,False
tworoom,98,21,True,True,True,True,0,False
tworoom,99,51,False,False,False,True,0,False
tworoom,100,11,True,True,True,True,0,False
tworoom,101,26,True,True,True,True,0,False
tworoom,102,51,False,False,False,True,0,False
tworoom,103,26,True,True,True,True,0,False
tworoom,104,14,True,True,True,True,0,False
tworoom,105,1,True,True,True,True,0,True
tworoom,106,51,False,False,False,True,0,False
tworoom,107,18,True,True,True,True,0,False
tworoom,108,50,True,True,True,True,0,False
tworoom,109,51,False,False,False,True,0,False
tworoom,110,22,True,True,True,True,0,False
tworoom,111,17,True,True,True,True,0,False
tworoom,112,20,True,True,True,True,0,False
tworoom,113,11,True,True,True,True,0,False
tworoom,114,24,True,True,True,True,0,False
tworoom,115,23,True,True,True,True,0,False
tworoom,116,13,True,True,True,True,0,False
tworoom,117,8,True,True,True,True,0,False
tworoom,118,9,True,True,True,True,0,False
tworoom,119,26,True,True,True,True,0,False
tworoom,120,51,False,False,False,True,0,False
tworoom,121,16,True,True,True,True,0,False
tworoom,122,13,True,True,True,True,0,False
tworoom,123,51,False,False,False,True,0,False
tworoom,124,25,True,True,True,True,0,False
tworoom,125,15,True,True,True,True,0,False
tworoom,126,51,False,False,False,True,0,False
tworoom,127,13,True,True,True,True,0,False
