task,H,B,query_ordinal,condition,mode,record_id,success,primitive_steps,decisions,predictor_calls,prediction_blocks,optimizer_seed,prelude,elapsed_seconds,variant,planned_actions_per_decision,maximum_executed_actions_per_decision
cube,150,150,12,clean,released_raw,ap-fresh-cube-012,False,150,30,4500,1350000,26103351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",57.0077,LeWM (5-action replanning),25,5
cube,150,150,12,prefix_a,released_raw,ap-fresh-cube-012,False,150,30,4500,1350000,26103351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",58.4248,LeWM (5-action replanning),25,5
cube,150,150,12,prefix_b,released_raw,ap-fresh-cube-012,True,18,4,600,180000,26103351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",7.7616,LeWM (5-action replanning),25,5
cube,150,150,13,clean,released_raw,ap-fresh-cube-013,False,150,30,4500,1350000,26104351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",58.4085,LeWM (5-action replanning),25,5
cube,150,150,13,prefix_a,released_raw,ap-fresh-cube-013,False,150,30,4500,1350000,26104351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",57.0927,LeWM (5-action replanning),25,5
cube,150,150,13,prefix_b,released_raw,ap-fresh-cube-013,False,150,30,4500,1350000,26104351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",56.1619,LeWM (5-action replanning),25,5
cube,150,150,14,clean,released_raw,ap-fresh-cube-014,False,150,30,4500,1350000,26105351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",54.1475,LeWM (5-action replanning),25,5
cube,150,150,14,prefix_a,released_raw,ap-fresh-cube-014,False,150,30,4500,1350000,26105351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.099,LeWM (5-action replanning),25,5
cube,150,150,14,prefix_b,released_raw,ap-fresh-cube-014,False,150,30,4500,1350000,26105351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.2186,LeWM (5-action replanning),25,5
cube,150,150,15,clean,released_raw,ap-fresh-cube-015,False,150,30,4500,1350000,26106351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",57.8224,LeWM (5-action replanning),25,5
cube,150,150,15,prefix_a,released_raw,ap-fresh-cube-015,False,150,30,4500,1350000,26106351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",56.7295,LeWM (5-action replanning),25,5
