task,H,B,query_ordinal,condition,mode,record_id,success,primitive_steps,decisions,predictor_calls,prediction_blocks,optimizer_seed,prelude,elapsed_seconds
cube,25,25,14,prefix_a,released_raw,ap-fresh-cube-014,False,25,1,150,45000,26105351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.3133
cube,25,25,14,prefix_b,released_raw,ap-fresh-cube-014,False,25,1,150,45000,26105351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.5652
cube,25,25,15,clean,released_raw,ap-fresh-cube-015,False,25,1,150,45000,26106351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.4301
cube,25,25,15,prefix_a,released_raw,ap-fresh-cube-015,False,25,1,150,45000,26106351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.3769
cube,25,25,15,prefix_b,released_raw,ap-fresh-cube-015,False,25,1,150,45000,26106351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.2689
cube,25,25,16,clean,released_raw,ap-fresh-cube-016,False,25,1,150,45000,26107351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.4089
cube,25,25,16,prefix_a,released_raw,ap-fresh-cube-016,False,25,1,150,45000,26107351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.2886
cube,25,25,16,prefix_b,released_raw,ap-fresh-cube-016,False,25,1,150,45000,26107351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.1234
cube,25,25,17,clean,released_raw,ap-fresh-cube-017,False,25,1,150,45000,26108351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.975
cube,25,25,17,prefix_a,released_raw,ap-fresh-cube-017,False,25,1,150,45000,26108351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.2345
cube,25,25,17,prefix_b,released_raw,ap-fresh-cube-017,False,25,1,150,45000,26108351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.2052
cube,25,25,18,clean,released_raw,ap-fresh-cube-018,False,25,1,150,45000,26109351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.4402
cube,25,25,18,prefix_a,released_raw,ap-fresh-cube-018,False,25,1,150,45000,26109351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.0148
cube,25,25,18,prefix_b,released_raw,ap-fresh-cube-018,False,25,1,150,45000,26109351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.8803
