task,query_ordinal,condition,predictor_error,displacement_error,predictor_regret,displacement_regret,direct_regret
cube,74,prefix_a,67.21844482421875,89.22772216796875,55.797752380371094,43.142005920410156,43.142005920410156
cube,74,prefix_b,34.889644622802734,58.18229293823242,210.18181610107422,0.0,81.35367584228516
cube,75,clean,2.913591146469116,9.631612777709961,12.778457641601562,3.3353118896484375,3.3353118896484375
cube,75,prefix_a,2.6870954036712646,20.646236419677734,2.5307464599609375,2.5307464599609375,2.5307464599609375
cube,75,prefix_b,14.424633026123047,33.88932418823242,3.413595199584961,0.0,5.915582656860352
cube,76,clean,3.630920648574829,32.80078125,0.0,43.607017517089844,69.94658660888672
cube,76,prefix_a,3.2092034816741943,9.67078685760498,0.0,1.3773574829101562,1.3773574829101562
cube,76,prefix_b,11.129886627197266,32.3765754699707,0.0,5.530834197998047,16.93349838256836
cube,77,clean,0.8580427169799805,13.350509643554688,0.7753105163574219,4.143827438354492,0.7753105163574219
cube,77,prefix_a,5.420833587646484,6.264825820922852,7.394309997558594,0.0,0.0
cube,77,prefix_b,228.37632751464844,239.2924346923828,0.0,1.5315399169921875,1.5315399169921875
cube,78,clean,2.5842220783233643,77.12567138671875,0.0,2.9503283500671387,2.9503283500671387
cube,78,prefix_a,1.8163676261901855,64.19617462158203,0.0,0.0,0.0
cube,78,prefix_b,353.415283203125,406.009033203125,2.1639404296875,2.1639404296875,2.1639404296875
cube,79,clean,7.039813041687012,24.419490814208984,4.7250823974609375,18.728622436523438,29.241470336914062
cube,79,prefix_a,44.15424346923828,85.73057556152344,9.278621673583984,87.63261795043945,198.22615432739258
cube,79,prefix_b,1.729019284248352,12.269546508789062,0.0,6.51531982421875,15.77960205078125
cube,80,clean,39.40773010253906,59.92375183105469,0.23029232025146484,0.0,0.23029232025146484
cube,80,prefix_a,23.85640525817871,35.560665130615234,0.0,2.9825706481933594,0.0
cube,80,prefix_b,21.704769134521484,33.192108154296875,0.0,47.51871681213379,79.83893775939941
cube,81,clean,0.7248451709747314,2.220775604248047,0.0,0.0,0.0
cube,81,prefix_a,0.9215743541717529,2.6547751426696777,1.3166046142578125,1.48297119140625,5.091648101806641
cube,81,prefix_b,4.699659824371338,12.611377716064453,2.378143310546875,0.0,0.0
cube,82,clean,1.0619581937789917,2.714932918548584,0.22861480712890625,0.00505828857421875,0.9719696044921875
cube,82,prefix_a,1.3579607009887695,3.1863222122192383,1.2062149047851562,0.4583282470703125,1.4689369201660156
cube,82,prefix_b,1.1477985382080078,3.052704334259033,0.0,0.0,2.452960968017578
cube,83,clean,3.90230393409729,15.868900299072266,0.0,0.0,0.0
cube,83,prefix_a,1.3898085355758667,9.458812713623047,0.0,13.5927734375,0.0
cube,83,prefix_b,2.288177251815796,9.637880325317383,0.0,0.0,0.0
cube,84,clean,1.7238949537277222,7.483067512512207,0.0,12.005378723144531,46.2320556640625
cube,84,prefix_a,2.4379217624664307,7.413076400756836,1.1087799072265625,0.0,9.323326110839844
cube,84,prefix_b,44.05381774902344,114.36348724365234,23.176513671875,23.176513671875,96.91122436523438
cube,85,clean,7.504493713378906,11.825386047363281,0.27789306640625,21.16559600830078,8.04437255859375
cube,85,prefix_a,3.326364040374756,9.599774360656738,0.0,18.20616912841797,6.741180419921875
cube,85,prefix_b,38.35874938964844,36.270729064941406,2.2526092529296875,17.74449920654297,17.74449920654297
cube,86,clean,0.7231920957565308,67.36019897460938,0.0,0.0,0.0
cube,86,prefix_a,11.954587936401367,28.563194274902344,0.0,1.1447372436523438,10.857101440429688
cube,86,prefix_b,4.000950813293457,10.664754867553711,12.965286254882812,12.965286254882812,0.0
cube,87,clean,1.0988388061523438,7.098520278930664,0.0,0.0,0.0
cube,87,prefix_a,3.0821919441223145,10.497627258300781,0.0,0.0,0.0
cube,87,prefix_b,1.0867161750793457,8.601858139038086,0.0,0.960078239440918,1.8299827575683594
cube,88,clean,1.1790801286697388,5.378520965576172,3.7791213989257812,2.9823341369628906,3.4024658203125
cube,88,prefix_a,0.9692537188529968,7.756689548492432,0.767974853515625,1.0382537841796875,1.1342544555664062
cube,88,prefix_b,1.2798027992248535,5.208873271942139,4.374652862548828,3.0729408264160156,4.529151916503906
cube,89,clean,3.04512882232666,98.07876586914062,0.0,22.92327117919922,22.92327117919922
cube,89,prefix_a,2.682253360748291,32.07050704956055,0.0,19.241012573242188,26.978904724121094
cube,89,prefix_b,10.334921836853027,115.44635009765625,24.99298095703125,24.99298095703125,24.99298095703125
cube,90,clean,56.32703399658203,59.49568176269531,145.24139404296875,0.0,129.00729370117188
cube,90,prefix_a,48.32164001464844,68.21577453613281,136.14981079101562,0.0,129.83975219726562
cube,90,prefix_b,33.43702697753906,23.495325088500977,0.0,0.0,8.528030395507812
cube,91,clean,7.517146110534668,16.501293182373047,9.965957641601562,9.965957641601562,30.581832885742188
cube,91,prefix_a,0.6560101509094238,78.34072875976562,0.0,0.798828125,0.798828125
cube,91,prefix_b,1.5760599374771118,109.51058959960938,0.0,5.9212493896484375,5.9212493896484375
cube,92,clean,4.752209663391113,199.10467529296875,3.6625595092773438,19.116310119628906,19.116310119628906
cube,92,prefix_a,3.0191779136657715,88.60135650634766,0.0,0.0,0.0
cube,92,prefix_b,14.629703521728516,98.28569030761719,0.0,0.0,0.0
cube,93,clean,1.210709810256958,5.537592887878418,0.3740196228027344,0.9186782836914062,0.9186782836914062
cube,93,prefix_a,2.0125277042388916,21.453414916992188,0.0,43.04888153076172,43.04888153076172
cube,93,prefix_b,1.6972994804382324,10.443634033203125,0.0,11.372116088867188,11.372116088867188
cube,94,clean,1.263330340385437,2.7695679664611816,2.1778271198272705,2.1778271198272705,1.3163230419158936
cube,94,prefix_a,65.3196792602539,35.67103958129883,48.13323974609375,48.13323974609375,48.13323974609375
cube,94,prefix_b,0.6199198961257935,3.023512125015259,0.0,1.2571659088134766,1.2571659088134766
cube,95,clean,0.8236910104751587,1.7930583953857422,0.0,1.1757354736328125,0.8592262268066406
cube,95,prefix_a,1.0093427896499634,1.9178303480148315,0.08137893676757812,0.7031593322753906,0.06593704223632812
cube,95,prefix_b,0.5800947546958923,2.630333423614502,2.923351287841797,2.759784698486328,4.794090270996094
cube,96,clean,9.316519737243652,17.691600799560547,0.0,6.077020168304443,3.2919650077819824
cube,96,prefix_a,11.212333679199219,8.832037925720215,20.564403533935547,0.0,9.074287414550781
cube,96,prefix_b,4.397837162017822,20.358837127685547,0.0,16.832931518554688,30.83330535888672
cube,97,clean,4.465922832489014,12.251285552978516,3.4061660766601562,6.347015380859375,3.4061660766601562
cube,97,prefix_a,1.6495712995529175,13.720364570617676,0.0,0.0,0.0
cube,97,prefix_b,49.5406494140625,81.55143737792969,0.0,40.731658935546875,12.556594848632812
cube,98,clean,1.958341121673584,62.47969055175781,0.0,17.831125259399414,17.831125259399414
cube,98,prefix_a,2.3766496181488037,84.09809112548828,0.0,0.0,0.0
cube,98,prefix_b,348.5037841796875,336.14794921875,13.076568603515625,5.087066650390625,5.087066650390625
cube,99,clean,2.3115525245666504,81.86209106445312,0.0,42.49423599243164,11.374137878417969
cube,99,prefix_a,42.287471771240234,82.81973266601562,1.5706024169921875,51.70965576171875,42.04649353027344
cube,99,prefix_b,29.434005737304688,31.717689514160156,7.425756454467773,0.0,8.223106384277344
cube,100,clean,4.857229709625244,73.10208892822266,0.0,8.65805435180664,8.65805435180664
cube,100,prefix_a,5.113781929016113,94.41006469726562,0.0,10.716495513916016,0.0
cube,100,prefix_b,6.3409528732299805,42.724510192871094,1.5771980285644531,1.5771980285644531,1.5771980285644531
cube,101,clean,29.971906661987305,21.79635238647461,9.9859619140625,13.689773559570312,24.811935424804688
