task,controller,query_ordinal,condition,success,primitive_steps,prediction_blocks
cube,AP-CEM,57,clean,0,150,270060
cube,AP-CEM,57,prefix_a,0,150,270060
cube,AP-CEM,57,prefix_b,0,150,270060
cube,AP-CEM,58,clean,0,150,270060
cube,AP-CEM,58,prefix_a,0,150,270060
cube,AP-CEM,58,prefix_b,0,150,270060
cube,AP-CEM,59,clean,1,37,72016
cube,AP-CEM,59,prefix_a,0,150,270060
cube,AP-CEM,59,prefix_b,0,150,270060
cube,AP-CEM,60,clean,1,42,81018
cube,AP-CEM,60,prefix_a,1,31,63014
cube,AP-CEM,60,prefix_b,1,32,63014
cube,AP-CEM,61,clean,0,150,270060
cube,AP-CEM,61,prefix_a,0,150,270060
cube,AP-CEM,61,prefix_b,0,150,270060
cube,AP-CEM,62,clean,0,150,270060
cube,AP-CEM,62,prefix_a,0,150,270060
cube,AP-CEM,62,prefix_b,0,150,270060
cube,AP-CEM,63,clean,1,21,45010
cube,AP-CEM,63,prefix_a,0,150,270060
cube,AP-CEM,63,prefix_b,1,20,36008
cube,AP-CEM,64,clean,1,42,81018
cube,AP-CEM,64,prefix_a,0,150,270060
cube,AP-CEM,64,prefix_b,0,150,270060
cube,AP-CEM,65,clean,1,20,36008
cube,AP-CEM,65,prefix_a,1,18,36008
cube,AP-CEM,65,prefix_b,0,150,270060
cube,AP-CEM,66,clean,0,150,270060
cube,AP-CEM,66,prefix_a,0,150,270060
cube,AP-CEM,66,prefix_b,0,150,270060
cube,AP-CEM,67,clean,1,26,54012
cube,AP-CEM,67,prefix_a,1,27,54012
cube,AP-CEM,67,prefix_b,0,150,270060
cube,AP-CEM,68,clean,1,30,54012
cube,AP-CEM,68,prefix_a,1,44,81018
cube,AP-CEM,68,prefix_b,1,41,81018
cube,AP-CEM,69,clean,0,150,270060
cube,AP-CEM,69,prefix_a,0,150,270060
cube,AP-CEM,69,prefix_b,0,150,270060
cube,AP-CEM,70,clean,1,29,54012
cube,AP-CEM,70,prefix_a,1,39,72016
cube,AP-CEM,70,prefix_b,0,150,270060
cube,AP-CEM,71,clean,1,21,45010
cube,AP-CEM,71,prefix_a,0,150,270060
cube,AP-CEM,71,prefix_b,1,26,54012
cube,AP-CEM,72,clean,0,150,270060
cube,AP-CEM,72,prefix_a,0,150,270060
cube,AP-CEM,72,prefix_b,1,46,90020
cube,AP-CEM,73,clean,1,41,81018
cube,AP-CEM,73,prefix_a,0,150,270060
cube,AP-CEM,73,prefix_b,0,150,270060
cube,AP-CEM,74,clean,0,150,270060
cube,AP-CEM,74,prefix_a,0,150,270060
cube,AP-CEM,74,prefix_b,0,150,270060
cube,AP-CEM,75,clean,1,43,81018
cube,AP-CEM,75,prefix_a,1,33,63014
cube,AP-CEM,75,prefix_b,0,150,270060
cube,AP-CEM,76,clean,0,150,270060
cube,AP-CEM,76,prefix_a,0,150,270060
cube,AP-CEM,76,prefix_b,0,150,270060
cube,AP-CEM,77,clean,0,150,270060
cube,AP-CEM,77,prefix_a,0,150,270060
cube,AP-CEM,77,prefix_b,0,150,270060
cube,AP-CEM,78,clean,1,16,36008
cube,AP-CEM,78,prefix_a,1,16,36008
cube,AP-CEM,78,prefix_b,0,150,270060
cube,AP-CEM,79,clean,0,150,270060
cube,AP-CEM,79,prefix_a,0,150,270060
cube,AP-CEM,79,prefix_b,0,150,270060
cube,AP-CEM,80,clean,0,150,270060
cube,AP-CEM,80,prefix_a,0,150,270060
cube,AP-CEM,80,prefix_b,0,150,270060
cube,AP-CEM,81,clean,0,150,270060
cube,AP-CEM,81,prefix_a,0,150,270060
cube,AP-CEM,81,prefix_b,0,150,270060
cube,AP-CEM,82,clean,0,150,270060
