task,arm,kind,start,config_H,config_arm,stall_W5_numerator,stall_W5_denominator,stall_W5_percent,stall_W10_numerator,stall_W10_denominator,stall_W10_percent,stall_W20_numerator,stall_W20_denominator,stall_W20_percent,physical_detour_0.25_numerator,physical_detour_0.25_denominator,physical_detour_0.25_percent,physical_detour_0.5_numerator,physical_detour_0.5_denominator,physical_detour_0.5_percent,physical_detour_1.0_numerator,physical_detour_1.0_denominator,physical_detour_1.0_percent,latent_detour_numerator,latent_detour_denominator,latent_detour_percent,config_B,config_iterations,config_memory_fraction,config_target_L,config_key,config_span,config_execution
reacher,cem_observed,main,Standard,150,cem_observed,0,31,0,0,31,0,0,31,0,95,97,97.9381443298969,94,97,96.90721649484536,93,97,95.87628865979381,92,97,94.84536082474227,,,,,,,
reacher,cem_observed,main,Perturbed,150,cem_observed,0,54,0,0,54,0,0,54,0,195,199,97.98994974874371,194,199,97.48743718592965,193,199,96.98492462311557,191,199,95.97989949748744,,,,,,,
reacher,cem_observed,main,Perturbed 1,150,cem_observed,0,22,0,0,22,0,0,22,0,103,105,98.0952380952381,103,105,98.0952380952381,102,105,97.14285714285714,100,105,95.23809523809524,,,,,,,
reacher,cem_observed,main,Perturbed 2,150,cem_observed,0,32,0,0,32,0,0,32,0,92,94,97.87234042553192,91,94,96.80851063829788,91,94,96.80851063829788,91,94,96.80851063829788,,,,,,,
reacher,rank_final,main,Standard,150,rank_final,0,12,0,0,12,0,0,12,0,110,116,94.82758620689656,109,116,93.96551724137932,106,116,91.37931034482759,77,116,66.37931034482759,,,,,,,
reacher,rank_final,main,Perturbed,150,rank_final,0,32,0,0,32,0,0,32,0,213,221,96.38009049773756,210,221,95.02262443438914,206,221,93.21266968325791,145,221,65.61085972850678,,,,,,,
reacher,rank_final,main,Perturbed 1,150,rank_final,0,15,0,0,15,0,0,15,0,107,112,95.53571428571429,106,112,94.64285714285714,103,112,91.96428571428571,71,112,63.392857142857146,,,,,,,
reacher,rank_final,main,Perturbed 2,150,rank_final,0,17,0,0,17,0,0,17,0,106,109,97.24770642201835,104,109,95.41284403669725,103,109,94.4954128440367,74,109,67.88990825688073,,,,,,,
reacher,rank_observed,main,Standard,150,rank_observed,0,4,0,0,4,0,0,4,0,122,124,98.38709677419355,122,124,98.38709677419355,122,124,98.38709677419355,120,124,96.7741935483871,,,,,,,
reacher,rank_observed,main,Perturbed,150,rank_observed,0,11,0,0,11,0,0,11,0,241,242,99.58677685950413,241,242,99.58677685950413,241,242,99.58677685950413,233,242,96.28099173553719,,,,,,,
reacher,rank_observed,main,Perturbed 1,150,rank_observed,0,5,0,0,5,0,0,5,0,121,122,99.18032786885246,121,122,99.18032786885246,121,122,99.18032786885246,115,122,94.26229508196721,,,,,,,
reacher,rank_observed,main,Perturbed 2,150,rank_observed,0,6,0,0,6,0,0,6,0,120,120,100,120,120,100,120,120,100,118,120,98.33333333333333,,,,,,,
reacher,direct,main,Standard,150,direct,0,1,0,0,1,0,0,1,0,125,127,98.4251968503937,124,127,97.63779527559055,124,127,97.63779527559055,0,0,,,,,,,,
reacher,direct,main,Perturbed,150,direct,0,8,0,0,8,0,0,8,0,245,245,100,243,245,99.18367346938776,241,245,98.36734693877551,0,0,,,,,,,,
reacher,direct,main,Perturbed 1,150,direct,0,4,0,0,4,0,0,4,0,123,123,100,122,123,99.1869918699187,121,123,98.3739837398374,0,0,,,,,,,,
reacher,direct,main,Perturbed 2,150,direct,0,4,0,0,4,0,0,4,0,122,122,100,121,122,99.18032786885246,120,122,98.36065573770492,0,0,,,,,,,,
tworoom,cem_final,main,Standard,100,cem_final,48,126,38.095238095238095,42,126,33.333333333333336,35,126,27.77777777777778,2,2,100,0,2,0,0,2,0,0,2,0,,,,,,,
tworoom,cem_final,main,Perturbed,100,cem_final,92,252,36.507936507936506,81,252,32.142857142857146,70,252,27.77777777777778,1,4,25,0,4,0,0,4,0,0,4,0,,,,,,,
tworoom,cem_final,main,Perturbed 1,100,cem_final,45,126,35.714285714285715,40,126,31.746031746031747,35,126,27.77777777777778,1,2,50,0,2,0,0,2,0,0,2,0,,,,,,,
tworoom,cem_final,main,Perturbed 2,100,cem_final,47,126,37.301587301587304,41,126,32.53968253968254,35,126,27.77777777777778,0,2,0,0,2,0,0,2,0,0,2,0,,,,,,,
tworoom,cem_observed,main,Standard,100,cem_observed,14,68,20.58823529411765,13,68,19.11764705882353,6,68,8.823529411764707,55,60,91.66666666666667,44,60,73.33333333333333,19,60,31.666666666666668,52,60,86.66666666666667,,,,,,,
tworoom,cem_observed,main,Perturbed,100,cem_observed,28,136,20.58823529411765,21,136,15.441176470588236,7,136,5.147058823529412,111,120,92.5,91,120,75.83333333333333,35,120,29.166666666666668,105,120,87.5,,,,,,,
tworoom,cem_observed,main,Perturbed 1,100,cem_observed,13,71,18.309859154929576,13,71,18.309859154929576,4,71,5.633802816901408,53,57,92.98245614035088,46,57,80.70175438596492,17,57,29.82456140350877,50,57,87.71929824561404,,,,,,,
tworoom,cem_observed,main,Perturbed 2,100,cem_observed,15,65,23.076923076923077,8,65,12.307692307692308,3,65,4.615384615384615,58,63,92.06349206349206,45,63,71.42857142857143,18,63,28.571428571428573,55,63,87.3015873015873,,,,,,,
tworoom,rank_final,main,Standard,100,rank_final,1,14,7.142857142857143,1,14,7.142857142857143,1,14,7.142857142857143,114,114,100,107,114,93.85964912280701,69,114,60.526315789473685,90,114,78.94736842105263,,,,,,,
tworoom,rank_final,main,Perturbed,100,rank_final,2,29,6.896551724137931,2,29,6.896551724137931,2,29,6.896551724137931,225,227,99.11894273127753,219,227,96.47577092511013,157,227,69.16299559471365,174,227,76.65198237885463,,,,,,,
tworoom,rank_final,main,Perturbed 1,100,rank_final,1,19,5.2631578947368425,1,19,5.2631578947368425,1,19,5.2631578947368425,108,109,99.08256880733946,103,109,94.4954128440367,70,109,64.22018348623853,87,109,79.81651376146789,,,,,,,
tworoom,rank_final,main,Perturbed 2,100,rank_final,1,10,10,1,10,10,1,10,10,117,118,99.15254237288136,116,118,98.30508474576271,87,118,73.72881355932203,87,118,73.72881355932203,,,,,,,
tworoom,rank_observed,main,Standard,100,rank_observed,0,2,0,0,2,0,0,2,0,126,126,100,124,126,98.41269841269842,78,126,61.904761904761905,115,126,91.26984126984127,,,,,,,
tworoom,rank_observed,main,Perturbed,100,rank_observed,0,0,,0,0,,0,0,,255,256,99.609375,254,256,99.21875,159,256,62.109375,237,256,92.578125,,,,,,,
tworoom,rank_observed,main,Perturbed 1,100,rank_observed,0,0,,0,0,,0,0,,127,128,99.21875,127,128,99.21875,81,128,63.28125,115,128,89.84375,,,,,,,
tworoom,rank_observed,main,Perturbed 2,100,rank_observed,0,0,,0,0,,0,0,,128,128,100,127,128,99.21875,78,128,60.9375,122,128,95.3125,,,,,,,
tworoom,direct,main,Standard,100,direct,0,1,0,0,1,0,0,1,0,127,127,100,123,127,96.85039370078741,78,127,61.41732283464567,0,0,,,,,,,,
tworoom,direct,main,Perturbed,100,direct,0,0,,0,0,,0,0,,256,256,100,254,256,99.21875,174,256,67.96875,0,0,,,,,,,,
tworoom,direct,main,Perturbed 1,100,direct,0,0,,0,0,,0,0,,128,128,100,128,128,100,81,128,63.28125,0,0,,,,,,,,
tworoom,direct,main,Perturbed 2,100,direct,0,0,,0,0,,0,0,,128,128,100,126,128,98.4375,93,128,72.65625,0,0,,,,,,,,
