kind,task,start,complete,completed,expected,success_percent,mean_pred_blocks,mean_steps,config_B,config_H,config_arm,config_iterations,config_default,config_memory_fraction,config_target_L,config_key,config_span
horizon,cube,Standard,true,128,128,62.5,142273.796875,77.9140625,150,150,cem_learned,30,,,,,
horizon,cube,Perturbed,true,256,256,38.671875,191538.6484375,105.65234375,150,150,cem_learned,30,,,,,
horizon,cube,Perturbed 1,true,128,128,37.5,194597.921875,107.4140625,150,150,cem_learned,30,,,,,
horizon,cube,Perturbed 2,true,128,128,39.84375,188479.375,103.890625,150,150,cem_learned,30,,,,,
horizon,cube,Standard,true,128,128,46.875,170264.390625,93.59375,150,150,cem_observed,30,,,,,
horizon,cube,Perturbed,true,256,256,29.6875,206835.015625,114.28515625,150,150,cem_observed,30,,,,,
horizon,cube,Perturbed 1,true,128,128,29.6875,207538.296875,114.640625,150,150,cem_observed,30,,,,,
horizon,cube,Perturbed 2,true,128,128,29.6875,206131.734375,113.9296875,150,150,cem_observed,30,,,,,
horizon,cube,Standard,true,128,128,15.625,235195.3125,128.8515625,150,150,lewm,30,,,,,
horizon,cube,Perturbed,true,256,256,12.5,241875,133.15625,150,150,lewm,30,,,,,
horizon,cube,Perturbed 1,true,128,128,11.71875,243632.8125,134.2265625,150,150,lewm,30,,,,,
horizon,cube,Perturbed 2,true,128,128,13.28125,240117.1875,132.0859375,150,150,lewm,30,,,,,
horizon,cube,Standard,true,128,128,62.5,119.1875,73.1796875,150,150,rank_final,30,,,,,
horizon,cube,Perturbed,true,256,256,41.796875,157.96875,97.9453125,150,150,rank_final,30,,,,,
horizon,cube,Perturbed 1,true,128,128,39.84375,162.375,100.6640625,150,150,rank_final,30,,,,,
horizon,cube,Perturbed 2,true,128,128,43.75,153.5625,95.2265625,150,150,rank_final,30,,,,,
horizon,cube,Standard,true,128,128,91.40625,79.3125,47.734375,150,150,rank_learned,30,,,,,
horizon,cube,Perturbed,true,256,256,50,149.53125,92.40234375,150,150,rank_learned,30,,,,,
horizon,cube,Perturbed 1,true,128,128,50.78125,149,92.03125,150,150,rank_learned,30,,,,,
horizon,cube,Perturbed 2,true,128,128,49.21875,150.0625,92.7734375,150,150,rank_learned,30,,,,,
horizon,cube,Standard,true,128,128,73.4375,104.9375,63.953125,150,150,rank_observed,30,,,,,
horizon,cube,Perturbed,true,256,256,45.703125,154.6875,95.9375,150,150,rank_observed,30,,,,,
horizon,cube,Perturbed 1,true,128,128,43.75,158.375,98.2890625,150,150,rank_observed,30,,,,,
horizon,cube,Perturbed 2,true,128,128,47.65625,151,93.5859375,150,150,rank_observed,30,,,,,
horizon,pusht,Standard,true,128,128,3.90625,346928.640625,192.671875,200,100,cem_final,30,,,,,
horizon,pusht,Perturbed,true,256,256,4.296875,346084.703125,192.1796875,200,100,cem_final,30,,,,,
horizon,pusht,Perturbed 1,true,128,128,3.90625,347209.953125,192.8125,200,100,cem_final,30,,,,,
horizon,pusht,Perturbed 2,true,128,128,4.6875,344959.453125,191.546875,200,100,cem_final,30,,,,,
horizon,reacher,Standard,true,128,128,35.15625,245656.140625,135.828125,200,100,cem_final,30,,,,,
horizon,reacher,Perturbed,true,256,256,35.15625,242948.5078125,134.265625,200,100,cem_final,30,,,,,
horizon,reacher,Perturbed 1,true,128,128,35.9375,240170.546875,132.6953125,200,100,cem_final,30,,,,,
horizon,reacher,Perturbed 2,true,128,128,34.375,245726.46875,135.8359375,200,100,cem_final,30,,,,,
horizon,tworoom,Standard,true,128,128,1.5625,354946.046875,197.1328125,200,100,cem_final,30,,,,,
horizon,tworoom,Perturbed,true,256,256,1.5625,354946.046875,197.13671875,200,100,cem_final,30,,,,,
horizon,tworoom,Perturbed 1,true,128,128,1.5625,355016.375,197.1875,200,100,cem_final,30,,,,,
horizon,tworoom,Perturbed 2,true,128,128,1.5625,354875.71875,197.0859375,200,100,cem_final,30,,,,,
horizon,pusht,Standard,true,128,128,57.03125,268794.09375,148.171875,200,100,cem_learned,30,,,,,
horizon,pusht,Perturbed,true,256,256,48.4375,277760.9296875,153.3359375,200,100,cem_learned,30,,,,,
horizon,pusht,Perturbed 1,true,128,128,53.125,269708.359375,148.734375,200,100,cem_learned,30,,,,,
horizon,pusht,Perturbed 2,true,128,128,43.75,285813.5,157.9375,200,100,cem_learned,30,,,,,
horizon,reacher,Standard,true,128,128,48.4375,273787.390625,151.1875,200,100,cem_learned,30,,,,,
horizon,reacher,Perturbed,true,256,256,52.34375,267035.890625,147.3125,200,100,cem_learned,30,,,,,
horizon,reacher,Perturbed 1,true,128,128,52.34375,266332.609375,146.9453125,200,100,cem_learned,30,,,,,
horizon,reacher,Perturbed 2,true,128,128,52.34375,267739.171875,147.6796875,200,100,cem_learned,30,,,,,
horizon,tworoom,Standard,true,128,128,53.125,250649.4375,138.3046875,200,100,cem_learned,30,,,,,
horizon,tworoom,Perturbed,true,256,256,55.078125,247941.8046875,136.796875,200,100,cem_learned,30,,,,,
horizon,tworoom,Perturbed 1,true,128,128,53.90625,249805.5,137.875,200,100,cem_learned,30,,,,,
horizon,tworoom,Perturbed 2,true,128,128,56.25,246078.109375,135.71875,200,100,cem_learned,30,,,,,
horizon,pusht,Standard,true,128,128,77.34375,221041.296875,121.6640625,200,100,cem_observed,30,,,,,
horizon,pusht,Perturbed,true,256,256,73.828125,227757.6328125,125.3359375,200,100,cem_observed,30,,,,,
horizon,pusht,Perturbed 1,true,128,128,73.4375,228003.78125,125.5,200,100,cem_observed,30,,,,,
horizon,pusht,Perturbed 2,true,128,128,74.21875,227511.484375,125.171875,200,100,cem_observed,30,,,,,
horizon,reacher,Standard,true,128,128,84.375,206553.703125,113.2734375,200,100,cem_observed,30,,,,,
horizon,reacher,Perturbed,true,256,256,76.5625,219283.09375,120.4140625,200,100,cem_observed,30,,,,,
horizon,reacher,Perturbed 1,true,128,128,74.21875,227300.5,124.90625,200,100,cem_observed,30,,,,,
horizon,reacher,Perturbed 2,true,128,128,78.90625,211265.6875,115.921875,200,100,cem_observed,30,,,,,
horizon,tworoom,Standard,true,128,128,46.875,262605.21875,145.0703125,200,100,cem_observed,30,,,,,
horizon,tworoom,Perturbed,true,256,256,46.875,265066.703125,146.44921875,200,100,cem_observed,30,,,,,
horizon,tworoom,Perturbed 1,true,128,128,44.53125,270974.265625,149.78125,200,100,cem_observed,30,,,,,
horizon,tworoom,Perturbed 2,true,128,128,49.21875,259159.140625,143.1171875,200,100,cem_observed,30,,,,,
horizon,pusht,Standard,true,128,128,10.9375,333281.25,184.4921875,200,100,lewm,30,,,,,
horizon,pusht,Perturbed,true,256,256,9.375,336972.65625,186.734375,200,100,lewm,30,,,,,
horizon,pusht,Perturbed 1,true,128,128,8.59375,337148.4375,187,200,100,lewm,30,,,,,
horizon,pusht,Perturbed 2,true,128,128,10.15625,336796.875,186.46875,200,100,lewm,30,,,,,
horizon,reacher,Standard,true,128,128,83.59375,144843.75,73.109375,200,100,lewm,30,,,,,
horizon,reacher,Perturbed,true,256,256,82.03125,154160.15625,76.42578125,200,100,lewm,30,,,,,
horizon,reacher,Perturbed 1,true,128,128,82.03125,153281.25,75.7890625,200,100,lewm,30,,,,,
horizon,reacher,Perturbed 2,true,128,128,82.03125,155039.0625,77.0625,200,100,lewm,30,,,,,
horizon,tworoom,Standard,true,128,128,17.1875,320976.5625,176.859375,200,100,lewm,30,,,,,
horizon,tworoom,Perturbed,true,256,256,16.796875,321503.90625,177.33203125,200,100,lewm,30,,,,,
horizon,tworoom,Perturbed 1,true,128,128,14.0625,328359.375,181.015625,200,100,lewm,30,,,,,
horizon,tworoom,Perturbed 2,true,128,128,19.53125,314648.4375,173.6484375,200,100,lewm,30,,,,,
horizon,pusht,Standard,true,128,128,26.5625,274.5625,171.09375,200,100,rank_final,30,,,,,
horizon,pusht,Perturbed,true,256,256,14.0625,296.4375,184.9921875,200,100,rank_final,30,,,,,
horizon,pusht,Perturbed 1,true,128,128,12.5,298.5625,186.375,200,100,rank_final,30,,,,,
horizon,pusht,Perturbed 2,true,128,128,15.625,294.3125,183.609375,200,100,rank_final,30,,,,,
horizon,reacher,Standard,true,128,128,95.3125,118.1875,72.0625,200,100,rank_final,30,,,,,
horizon,reacher,Perturbed,true,256,256,94.921875,122.90625,75.01953125,200,100,rank_final,30,,,,,
horizon,reacher,Perturbed 1,true,128,128,94.53125,124.8125,76.3828125,200,100,rank_final,30,,,,,
