task,arm,start,complete,completed_outcomes,expected_outcomes,success_percent,mean_pred_blocks,baseline_configuration
reacher,AP-rank,Standard,true,128,128,96.875,237.25,
reacher,AP-rank,Perturbed,true,256,256,95.703125,236.96875,
reacher,AP-rank,Perturbed 1,true,128,128,96.09375,236.9375,
reacher,AP-rank,Perturbed 2,true,128,128,95.3125,237,
reacher,CEM (learned target),Standard,true,128,128,54.6875,393907.828125,
reacher,CEM (learned target),Perturbed,true,256,256,58.984375,379982.859375,
reacher,CEM (learned target),Perturbed 1,true,128,128,57.03125,388914.53125,
reacher,CEM (learned target),Perturbed 2,true,128,128,60.9375,371051.1875,
reacher,Rank (learned target),Standard,true,128,128,95.3125,243.1875,
reacher,Rank (learned target),Perturbed,true,256,256,96.875,230.03125,
reacher,Rank (learned target),Perturbed 1,true,128,128,96.875,232,
reacher,Rank (learned target),Perturbed 2,true,128,128,96.875,228.0625,
reacher,LeWM planner,Standard,true,128,128,66.40625,255585.9375,"released_raw; plan 25, execute 25"
reacher,LeWM planner,Perturbed,true,256,256,68.75,244511.71875,"released_raw; plan 25, execute 25"
reacher,LeWM planner,Perturbed 1,true,128,128,69.53125,236601.5625,"released_raw; plan 25, execute 25"
reacher,LeWM planner,Perturbed 2,true,128,128,67.96875,252421.875,"released_raw; plan 25, execute 25"
tworoom,CEM (final goal),Standard,true,128,128,1.5625,354946.046875,
tworoom,CEM (final goal),Perturbed,true,256,256,1.5625,354946.046875,
tworoom,CEM (final goal),Perturbed 1,true,128,128,1.5625,355016.375,
tworoom,CEM (final goal),Perturbed 2,true,128,128,1.5625,354875.71875,
tworoom,AP-CEM,Standard,true,128,128,46.875,262605.21875,
tworoom,AP-CEM,Perturbed,true,256,256,46.875,265066.703125,
tworoom,AP-CEM,Perturbed 1,true,128,128,44.53125,270974.265625,
tworoom,AP-CEM,Perturbed 2,true,128,128,49.21875,259159.140625,
tworoom,Direct,Standard,true,128,128,99.21875,0,
tworoom,Direct,Perturbed,true,256,256,100,0,
tworoom,Direct,Perturbed 1,true,128,128,100,0,
tworoom,Direct,Perturbed 2,true,128,128,100,0,
tworoom,Rank (final goal),Standard,true,128,128,89.0625,154.8125,
tworoom,Rank (final goal),Perturbed,true,256,256,88.671875,159.375,
tworoom,Rank (final goal),Perturbed 1,true,128,128,85.15625,164.125,
tworoom,Rank (final goal),Perturbed 2,true,128,128,92.1875,154.625,
tworoom,AP-rank,Standard,true,128,128,98.4375,138.125,
tworoom,AP-rank,Perturbed,true,256,256,100,135.53125,
tworoom,AP-rank,Perturbed 1,true,128,128,100,136.125,
tworoom,AP-rank,Perturbed 2,true,128,128,100,134.9375,
tworoom,CEM (learned target),Standard,true,128,128,53.125,250649.4375,
